Year;Sub_Div;RECT;Area;Age1;Age2;Age3;Age4;Age5;Age6;Age7;Age8+
2003.00;26;41G8;1000.00;341.96;1013.62;1354.27;1224.37;1067.28;454.99;10.35;1.25
2003.00;26;41G9;1000.00;345.40;625.70;287.90;793.60;144.30;828.10;65.80;306.10
2003.00;26;41H0;953.30;648.10;110.90;8.70;77.40;2.40;22.70;9.10;29.70
2003.00;28_2;42G9;986.90;682.10;640.30;299.30;1071.40;24.80;718.80;194.30;422.90
2003.00;28_2;42H0;968.50;1041.80;231.10;82.60;241.70;21.40;169.90;43.00;94.10
2003.00;28_2;43H0;973.70;776.70;221.30;123.00;588.10;0.50;265.90;74.60;316.40
2003.00;28_2;44H0;960.50;97.20;152.50;138.10;350.50;55.30;218.10;101.40;271.70
2003.00;28_2;44H1;824.60;3535.30;135.70;15.80;92.60;1.50;41.20;20.30;71.90
2004.00;24;38G2;832.90;13.89;1.67;4.57;5.82;5.31;3.78;1.73;0.29
2004.00;24;38G3;865.70;643.38;79.10;79.35;104.47;70.90;20.71;16.04;3.84
2004.00;24;38G4;1034.80;306.05;57.82;56.69;68.55;43.86;10.68;9.16;2.20
2004.00;24;39G2;406.10;5.37;0.65;1.77;2.25;2.05;1.46;0.67;0.11
2004.00;24;39G3;765.00;364.50;37.05;31.26;39.10;25.45;6.38;5.13;1.45
2004.00;24;39G4;524.80;129.13;36.11;40.44;48.33;30.85;7.23;6.31;1.64
2004.00;25;37G5;642.20;34.65;20.69;19.95;37.99;16.96;15.09;4.63;5.32
2004.00;25;38G5;1035.70;315.88;229.28;260.03;488.97;222.13;198.50;62.14;68.00
2004.00;25;38G6;940.20;7.51;12.35;13.29;20.72;6.94;6.65;1.80;2.38
2004.00;25;39G4;287.30;223.86;93.69;54.06;96.82;44.11;40.04;12.64;13.50
2004.00;25;39G5;979.00;591.18;352.08;270.43;418.37;163.23;152.95;45.38;53.95
2004.00;25;39G6;1026.00;152.13;266.34;307.58;570.64;190.39;180.71;44.58;60.05
2004.00;25;39G7;1026.00;557.92;492.30;420.85;609.80;181.09;183.30;44.30;70.81
2004.00;25;40G4;677.20;1645.95;522.51;237.37;388.19;136.02;126.05;34.93;42.31
2004.00;25;40G5;1012.90;1043.16;682.54;527.50;880.16;315.81;296.07;78.61;105.56
2004.00;25;40G6;1013.00;1881.56;832.70;556.72;896.72;311.03;294.28;77.03;102.51
2004.00;25;40G7;1013.00;1903.51;483.49;278.01;349.58;108.02;116.02;29.24;36.61
2004.00;25;41G6;764.40;198.86;261.09;140.76;171.75;53.17;56.53;14.20;20.12
2004.00;25;41G7;1000.00;1295.64;547.30;303.32;326.74;99.27;108.99;29.68;39.24
2004.00;26;38G9;918.20;5286.80;1743.60;520.20;165.40;594.30;11.70;343.60;193.00
2004.00;26;39G8;1026.00;1067.95;1556.55;950.77;911.55;99.52;96.52;128.24;6.01
2004.00;26;39G9;1026.00;3434.40;1089.10;788.30;94.80;695.70;57.80;372.00;106.00
