"ANNUS";"Sub_Div";"RECT";"Area";"0";"1";"2";"3";"4";"5";"6";"7";"8"
1992,00;"26";"41G8";1000,00;0,00;437,68;446,23;711,99;394,68;131,84;55,71;63,13;32,42
1992,00;"26";"41G9";1000,00;0,00;137,02;142,15;215,83;105,26;31,93;18,01;13,89;10,82
1992,00;"26";"41H0";953,30;0,00;90,16;85,00;128,02;59,22;18,12;9,13;7,96;6,78
1992,00;"27";"42G6";266,00;2,45;43,60;40,99;66,19;26,47;6,21;3,67;0,55;0,12
1992,00;"27";"42G7";986,90;0,53;49,24;110,42;138,32;70,42;25,91;11,62;2,64;0,41
1992,00;"27";"43G7";913,80;0,00;43,62;217,19;465,40;281,99;244,60;119,30;33,54;14,86
1992,00;"27";"44G7";960,50;6,25;467,51;294,98;276,28;71,05;25,04;8,53;3,44;0,65
1992,00;"27";"44G8";456,60;1,70;166,17;152,28;201,60;68,03;23,26;8,89;3,11;1,33
1992,00;"27";"45G7";908,70;1,66;206,51;201,84;242,46;66,30;9,69;2,22;2,25;0,21
1992,00;"27";"45G8";947,20;1,27;117,46;125,03;249,96;61,92;3,45;0,00;0,77;0,00
1992,00;"27";"46G8";884,80;0,00;113,46;446,54;412,54;107,18;14,18;3,77;0,37;0,00
1992,00;"28_2";"42G8";945,40;0,00;38,91;101,42;289,19;246,61;260,86;193,06;145,22;115,46
1992,00;"28_2";"42G9";986,90;0,00;20,27;41,64;141,03;128,01;161,50;122,34;95,01;76,23
1992,00;"28_2";"42H0";968,50;0,00;51,51;90,68;280,17;217,45;291,58;207,68;179,72;193,08
1992,00;"28_2";"43G9";973,70;0,00;104,31;168,99;484,42;365,50;411,79;263,67;197,20;150,31
1992,00;"28_2";"43H0";973,70;0,00;63,69;103,03;295,49;222,96;251,08;160,86;120,32;91,81
1992,00;"28_2";"43H1";412,70;1,00;44,50;52,95;88,01;25,86;21,38;6,96;1,99;1,24
1992,00;"28_2";"44G9";876,60;0,00;7,64;12,41;35,71;26,83;30,17;19,38;14,51;11,08
1992,00;"28_2";"44H0";960,50;0,00;4,87;6,56;13,81;6,46;7,85;2,28;0,70;0,10
1992,00;"28_2";"44H1";824,60;0,00;11,31;81,37;99,24;14,96;16,42;4,38;0,36;0,00
1992,00;"28_2";"45G9";924,50;0,00;40,84;166,19;312,23;104,57;33,07;11,06;1,97;0,69
